Red Fighter,Blue Fighter,Betting Odds (Red),Betting Odds (Blue),Payout (Red),Payout (Blue),Date,Location,Country,Winner,Weight Class,Gender,Number of Rounds,Wins (Blue),Stance (Blue),Height_cms (Blue),Reach_cms (Blue),Weight_lbs (Blue),Wins (Red),Stance (Red),Height_cms (Red),Reach_cms (Red),Weight_lbs (Red),Age (Red),Age (Blue),Women's Strawweight Ranking (Blue),Women's Bantamweight Ranking (Blue),Heavyweight Ranking (Red),Welterweight Ranking (Blue),Knockdowns (Red),Knockdowns (Blue) ,Significant Strikes Landed (Red),Significant Strikes Landed (Blue),Average Accuracy of Significant Strikes Landed (Red),Average Accuracy of Significant Strikes Landed (Blue),Total Number of Strikes Landed (Red),Total Number of Strikes Landed (Blue),Total Number of Strikes Attempted (Red),Total Number of Strikes Attempted (Blue),Average Takedowns Landed (Red),Average Takedowns Landed (Blue),Accuracy of Takedowns Landed (Red),Accuracy of Takedowns Landed (Blue),Number of Submissions Attempted (Red),Guard Passes (Red),Guard Passes (Blue)
Sarah Moras,Vanessa Melo,-230,180,43.47826087,180,1/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Women's Bantamweight,FEMALE,3,0,Orthodox,165.1,165.1,135,3,Orthodox,170.18,170.18,135,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Kilburn,Austin Lingo,180,-230,180,43.47826087,1/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Featherweight,MALE,3,0,Orthodox,177.8,177.8,145,0,Orthodox,175.26,182.88,145,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Thompson,Geoff Neal,-103,-117,97.08737864,85.47008547,12/19/20,"Las Vegas, Nevada, USA",USA,Red,Welterweight,MALE,5,6,Southpaw,180.34,190.5,170,11,Orthodox,182.88,190.5,170,37,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Aldo,Marlon Vera,-140,120,71.42857143,120,12/19/20,"Las Vegas, Nevada, USA",USA,Red,Bantamweight,MALE,3,10,Switch,172.72,177.8,135,19,Orthodox,170.18,177.8,135,34,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michel Pereira,Khaos Williams,105,-125,105,80,12/19/20,"Las Vegas, Nevada, USA",USA,Red,Welterweight,MALE,3,2,Orthodox,182.88,195.58,170,3,Orthodox,185.42,185.42,170,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlon Moraes,Rob Font,-170,150,58.82352941,150,12/19/20,"Las Vegas, Nevada, USA",USA,Blue,Bantamweight,MALE,3,5,Orthodox,167.64,170.18,135,8,Orthodox,172.72,180.34,135,33,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcin Tybura,Greg Hardy,-110,-110,90.90909091,90.90909091,12/19/20,"Las Vegas, Nevada, USA",USA,Red,Heavyweight,MALE,3,6,Orthodox,195.58,203.2,265,8,Orthodox,190.5,198.12,249,35,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Pettis,Alex Morono,-210,175,47.61904762,175,12/19/20,"Las Vegas, Nevada, USA",USA,Red,Welterweight,MALE,3,7,Orthodox,180.34,182.88,170,16,Orthodox,177.8,182.88,155,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sijara Eubanks,Pannie Kianzad,-140,120,71.42857143,120,12/19/20,"Las Vegas, Nevada, USA",USA,Blue,Women's Bantamweight,FEMALE,3,4,Orthodox,162.56,170.18,135,3,Orthodox,170.18,167.64,135,29,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deron Winn,Antonio Arroyo,160,-185,160,54.05405405,12/19/20,"Las Vegas, Nevada, USA",USA,Red,Catch Weight,MALE,3,2,Orthodox,190.5,185.42,185,2,Orthodox,167.64,177.8,185,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gillian Robertson,Taila Santos,-145,125,68.96551724,125,12/19/20,"Las Vegas, Nevada, USA",USA,Blue,Women's Flyweight,FEMALE,3,6,Orthodox,165.1,160.02,125,3,Orthodox,167.64,172.72,125,27,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
