Red Fighter,Blue Fighter,Betting Odds (Red),Betting Odds (Blue),Payout (Red),Payout (Blue),Date,Location,Country,Winner,Weight Class,Gender,Number of Rounds,Wins (Blue),Stance (Blue),Height_cms (Blue),Reach_cms (Blue),Weight_lbs (Blue),Wins (Red),Stance (Red),Height_cms (Red),Reach_cms (Red),Weight_lbs (Red),Age (Red),Age (Blue),Women's Strawweight Ranking (Blue),Women's Bantamweight Ranking (Blue),Heavyweight Ranking (Red),Welterweight Ranking (Blue),Knockdowns (Red),Knockdowns (Blue) ,Significant Strikes Landed (Red),Significant Strikes Landed (Blue),Average Accuracy of Significant Strikes Landed (Red),Average Accuracy of Significant Strikes Landed (Blue),Total Number of Strikes Landed (Red),Total Number of Strikes Landed (Blue),Total Number of Strikes Attempted (Red),Total Number of Strikes Attempted (Blue),Average Takedowns Landed (Red),Average Takedowns Landed (Blue),Accuracy of Takedowns Landed (Red),Accuracy of Takedowns Landed (Blue),Number of Submissions Attempted (Red),Guard Passes (Red),Guard Passes (Blue)
Jack Hermansson,Marvin Vettori,110,-134,110,74.62686567,12/5/20,"Las Vegas, Nevada, USA",USA,Blue,Middleweight,MALE,5,5,Southpaw,182.88,187.96,185,8,Orthodox,185.42,195.58,185,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ovince Saint Preux,Jamahal Hill,140,-177,140,56.49717514,12/5/20,"Las Vegas, Nevada, USA",USA,Blue,Light Heavyweight,MALE,3,2,Southpaw,193.04,200.66,205,19,Southpaw,190.5,203.2,205,37,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Benitez,Justin Jaynes,-215,170,46.51162791,170,12/5/20,"Las Vegas, Nevada, USA",USA,Red,Lightweight,MALE,3,1,Orthodox,170.18,172.72,155,5,Southpaw,172.72,180.34,155,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roman Dolidze,John Allan,-200,160,50,160,12/5/20,"Las Vegas, Nevada, USA",USA,Red,Light Heavyweight,MALE,3,0,Orthodox,185.42,190.5,205,1,Orthodox,187.96,193.04,205,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louis Smolka,Jose Quinonez,-139,112,71.94244604,112,12/5/20,"Las Vegas, Nevada, USA",USA,Red,Bantamweight,MALE,3,5,Southpaw,172.72,175.26,135,7,Orthodox,175.26,172.72,135,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Wiman,Jordan Leavitt,310,-420,310,23.80952381,12/5/20,"Las Vegas, Nevada, USA",USA,Blue,Lightweight,MALE,3,1,Southpaw,175.26,180.34,155,10,Orthodox,177.8,172.72,155,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilia Topuria,Damon Jackson,-275,210,36.36363636,210,12/5/20,"Las Vegas, Nevada, USA",USA,Red,Featherweight,MALE,3,1,Switch,180.34,180.34,145,1,Orthodox,170.18,175.26,145,23,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gian Villante,Jake Collier,-200,160,50,160,12/5/20,"Las Vegas, Nevada, USA",USA,Blue,Heavyweight,MALE,3,3,Orthodox,190.5,198.12,230,10,Orthodox,190.5,193.04,230,35,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Smith,Devin Clark,-139,115,71.94244604,115,11/28/20,"Las Vegas, Nevada, USA",USA,Red,Light Heavyweight,MALE,5,6,Orthodox,182.88,190.5,205,10,Orthodox,193.04,193.04,205,32,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Baeza,Takashi Sato,-175,140,57.14285714,140,11/28/20,"Las Vegas, Nevada, USA",USA,Red,Welterweight,MALE,3,2,Southpaw,177.8,185.42,170,3,Orthodox,187.96,187.96,170,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Parisian,Parker Porter,-200,160,50,160,11/28/20,"Las Vegas, Nevada, USA",USA,Blue,Heavyweight,MALE,3,0,Orthodox,182.88,190.5,265,2,Orthodox,193.04,200.66,265,31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spike Carlyle,Bill Algeo,-177,140,56.49717514,140,11/28/20,"Las Vegas, Nevada, USA",USA,Blue,Featherweight,MALE,3,0,Switch,182.88,185.42,145,1,Switch,172.72,180.34,145,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashlee Evans-Smith,Norma Dumont,-137,110,72.99270073,110,11/28/20,"Las Vegas, Nevada, USA",USA,Blue,Women's Bantamweight,FEMALE,3,0,Orthodox,170.18,170.18,135,3,Orthodox,172.72,170.18,135,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Pearce,Kai Kamaka,245,-335,245,29.85074627,11/28/20,"Las Vegas, Nevada, USA",USA,Red,Featherweight,MALE,3,1,Orthodox,170.18,175.26,145,1,Switch,182.88,180.34,145,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Day,Anderson Dos Santos,-167,135,59.88023952,135,11/28/20,"Las Vegas, Nevada, USA",USA,Blue,Bantamweight,MALE,3,0,Orthodox,165.1,177.8,135,0,Orthodox,177.8,185.42,135,32,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gina Mazany,Rachael Ostovich,-200,160,50,160,11/28/20,"Las Vegas, Nevada, USA",USA,Red,Women's Flyweight,FEMALE,3,1,Orthodox,160.02,157.48,125,1,Southpaw,167.64,172.72,125,32,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Su Mudaerji,Malcolm Gordon,-335,250,29.85074627,250,11/28/20,"Las Vegas, Nevada, USA",USA,Red,Flyweight,MALE,3,0,Switch,170.18,180.34,125,1,Southpaw,172.72,182.88,125,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Sanders,Nate Maness,-155,125,64.51612903,125,11/28/20,"Las Vegas, Nevada, USA",USA,Blue,Catch Weight,MALE,3,1,Orthodox,177.8,182.88,135,4,Southpaw,167.64,170.18,135,34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deiveson Figueiredo,Alex Perez,-286,225,34.96503497,225,11/21/20,"Las Vegas, Nevada, USA",USA,Red,Flyweight,MALE,5,7,Orthodox,167.64,165.1,125,8,Orthodox,165.1,172.72,125,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valentina Shevchenko,Jennifer Maia,-1667,850,5.99880024,850,11/21/20,"Las Vegas, Nevada, USA",USA,Red,Women's Flyweight,FEMALE,3,3,Orthodox,162.56,162.56,125,8,Southpaw,165.1,167.64,125,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Perry,Tim Means,-150,120,66.66666667,120,11/21/20,"Las Vegas, Nevada, USA",USA,Blue,Welterweight,MALE,3,12,Orthodox,187.96,190.5,170,7,Orthodox,177.8,180.34,170,29,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katlyn Chookagian,Cynthia Calvillo,205,-265,205,37.73584906,11/21/20,"Las Vegas, Nevada, USA",USA,Red,Women's Flyweight,FEMALE,3,6,Orthodox,162.56,162.56,125,7,Orthodox,175.26,172.72,125,31,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauricio Rua,Paul Craig,150,-190,150,52.63157895,11/21/20,"Las Vegas, Nevada, USA",USA,Blue,Light Heavyweight,MALE,3,5,Orthodox,190.5,193.04,205,27,Orthodox,185.42,193.04,205,38,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Moreno,Brandon Royval,-190,150,52.63157895,150,11/21/20,"Las Vegas, Nevada, USA",USA,Red,Flyweight,MALE,3,2,Southpaw,175.26,172.72,125,5,Orthodox,170.18,177.8,125,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joaquin Buckley,Jordan Wright,-265,205,37.73584906,205,11/21/20,"Las Vegas, Nevada, USA",USA,Red,Middleweight,MALE,3,1,Orthodox,187.96,195.58,205,1,Southpaw,177.8,193.04,185,26,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonina Shevchenko,Ariane Lipski,-167,130,59.88023952,130,11/21/20,"Las Vegas, Nevada, USA",USA,Red,Women's Flyweight,FEMALE,3,2,Orthodox,167.64,170.18,125,3,Southpaw,172.72,170.18,125,36,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Rodriguez,Nicolas Dalby,-335,250,29.85074627,250,11/21/20,"Las Vegas, Nevada, USA",USA,Blue,Welterweight,MALE,3,2,Orthodox,180.34,187.96,170,4,Southpaw,185.42,187.96,170,33,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Jouban,Jared Gooden,-150,120,66.66666667,120,11/21/20,"Las Vegas, Nevada, USA",USA,Red,Welterweight,MALE,3,0,Orthodox,182.88,195.58,170,7,Southpaw,182.88,185.42,170,38,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Daukaus,Dustin Stoltzfus,-315,230,31.74603175,230,11/21/20,"Las Vegas, Nevada, USA",USA,Red,Middleweight,MALE,3,1,Orthodox,182.88,190.5,185,1,Southpaw,190.5,193.04,185,27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louis Cosce,Sasha Palatnikov,-455,325,21.97802198,325,11/21/20,"Las Vegas, Nevada, USA",USA,Blue,Welterweight,MALE,3,0,Switch,185.42,182.88,170,1,Orthodox,175.26,180.34,170,25,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Felder,Rafael Dos Anjos,165,-200,165,50,11/14/20,"Las Vegas, Nevada, USA",USA,Blue,Lightweight,MALE,5,18,Southpaw,172.72,177.8,155,9,Orthodox,180.34,177.8,155,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdul Razak Alhassan,Khaos Williams,-240,185,41.66666667,185,11/14/20,"Las Vegas, Nevada, USA",USA,Blue,Welterweight,MALE,3,1,Orthodox,182.88,195.58,170,4,Orthodox,177.8,185.42,170,35,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kay Hansen,Cory McKenna,-230,180,43.47826087,180,11/14/20,"Las Vegas, Nevada, USA",USA,Blue,Women's Strawweight,FEMALE,3,1,Orthodox,160.02,147.32,115,1,Orthodox,157.48,160.02,115,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brendan Allen,Sean Strickland,-118,-106,84.74576271,94.33962264,11/14/20,"Las Vegas, Nevada, USA",USA,Blue,Catch Weight,MALE,3,8,Orthodox,185.42,193.04,185,4,Orthodox,187.96,190.5,185,24,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley Yoder,Miranda Granger,135,-167,135,59.88023952,11/14/20,"Las Vegas, Nevada, USA",USA,Red,Women's Strawweight,FEMALE,3,1,Orthodox,170.18,172.72,125,2,Southpaw,170.18,175.26,115,33,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Morono,Rhys McKee,-177,140,56.49717514,140,11/14/20,"Las Vegas, Nevada, USA",USA,Red,Welterweight,MALE,3,0,Orthodox,187.96,198.12,170,6,Orthodox,180.34,182.88,170,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randa Markos,Kanako Murata,155,-200,155,50,11/14/20,"Las Vegas, Nevada, USA",USA,Blue,Women's Strawweight,FEMALE,3,0,Orthodox,154.94,157.48,115,6,Orthodox,162.56,160.02,115,35,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geraldo de Freitas,Tony Gravely,117,-148,117,67.56756757,11/14/20,"Las Vegas, Nevada, USA",USA,Blue,Bantamweight,MALE,3,1,Orthodox,165.1,175.26,135,1,Orthodox,170.18,182.88,135,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don'Tale Mayes,Roque Martinez,-265,205,37.73584906,205,11/14/20,"Las Vegas, Nevada, USA",USA,Red,Heavyweight,MALE,3,0,Orthodox,177.8,182.88,250,2,Orthodox,198.12,205.74,260,28,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiago Santos,Glover Teixeira,-240,190,41.66666667,190,11/7/20,"Las Vegas, Nevada, USA",USA,Blue,Light Heavyweight,MALE,5,17,Orthodox,187.96,193.04,205,13,Orthodox,187.96,193.04,205,36,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrei Arlovski,Tanner Boser,235,-305,235,32.78688525,11/7/20,"Las Vegas, Nevada, USA",USA,Red,Heavyweight,MALE,3,3,Orthodox,187.96,190.5,255,20,Orthodox,190.5,195.58,240,41,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raoni Barcelos,Khalid Taha,-400,295,25,295,11/7/20,"Las Vegas, Nevada, USA",USA,Red,Bantamweight,MALE,3,1,Orthodox,165.1,175.26,135,4,Orthodox,170.18,170.18,135,33,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claudia Gadelha,Yan Xiaonan,125,-155,125,64.51612903,11/7/20,"Las Vegas, Nevada, USA",USA,Blue,Women's Strawweight,FEMALE,3,5,Orthodox,165.1,160.02,115,7,Orthodox,162.56,160.02,115,31,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevin Giles,Bevon Lewis,100,-125,100,80,11/7/20,"Las Vegas, Nevada, USA",USA,Red,Middleweight,MALE,3,3,Orthodox,190.5,200.66,185,3,Orthodox,182.88,187.96,185,28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giga Chikadze,Jamey Simmons,-835,525,11.9760479,525,11/7/20,"Las Vegas, Nevada, USA",USA,Red,Featherweight,MALE,3,0,Orthodox,165.1,165.1,145,4,Orthodox,182.88,187.96,145,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandr Romanov,Marcos Rogerio de Lima,-455,330,21.97802198,330,11/7/20,"Las Vegas, Nevada, USA",USA,Red,Heavyweight,MALE,3,6,Orthodox,185.42,190.5,253,1,Southpaw,187.96,190.5,262,29,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darren Elkins,Eduardo Garagorri,-240,185,41.66666667,185,11/7/20,"Las Vegas, Nevada, USA",USA,Red,Featherweight,MALE,3,1,Orthodox,175.26,177.8,145,14,Orthodox,177.8,180.34,145,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Griffin,Ramiz Brahimaj,-143,115,69.93006993,115,11/7/20,"Las Vegas, Nevada, USA",USA,Red,Welterweight,MALE,3,0,Orthodox,177.8,185.42,170,3,Orthodox,180.34,193.04,170,34,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gustavo Lopez,Anthony Birchak,-134,108,74.62686567,108,11/7/20,"Las Vegas, Nevada, USA",USA,Red,Bantamweight,MALE,3,2,Orthodox,172.72,175.26,135,0,Orthodox,165.1,170.18,135,31,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uriah Hall,Anderson Silva,-230,185,43.47826087,185,10/31/20,"Las Vegas, Nevada, USA",USA,Red,Middleweight,MALE,5,31,Southpaw,187.96,195.58,185,8,Orthodox,182.88,200.66,185,36,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Mitchell,Andre Fili,-150,120,66.66666667,120,10/31/20,"Las Vegas, Nevada, USA",USA,Red,Featherweight,MALE,3,9,Orthodox,180.34,187.96,145,4,Southpaw,177.8,177.8,145,26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Greene,Greg Hardy,250,-335,250,29.85074627,10/31/20,"Las Vegas, Nevada, USA",USA,Blue,Heavyweight,MALE,3,5,Orthodox,195.58,203.2,265,4,Orthodox,200.66,203.2,258,34,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Holland,Charlie Ontiveros,-770,500,13.98601399,475,10/31/20,"Las Vegas, Nevada, USA",USA,Red,Middleweight,MALE,3,0,Switch,187.96,198.12,185,7,Orthodox,190.5,205.74,170,27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobby Green,Thiago Moises,-335,245,29.85074627,245,10/31/20,"Las Vegas, Nevada, USA",USA,Blue,Lightweight,MALE,3,3,Orthodox,175.26,177.8,155,12,Orthodox,177.8,180.34,155,34,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Gruetzemacher,Alexander Hernandez,315,-435,315,22.98850575,10/31/20,"Las Vegas, Nevada, USA",USA,Blue,Lightweight,MALE,3,3,Orthodox,175.26,182.88,155,3,Orthodox,172.72,172.72,155,34,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Yanez,Victor Rodriguez,-500,356,20,356,10/31/20,"Las Vegas, Nevada, USA",USA,Red,Bantamweight,MALE,3,0,Switch,165.1,165.1,135,1,Orthodox,170.18,177.8,135,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Strickland,Jack Marshman,-375,277,26.66666667,277,10/31/20,"Las Vegas, Nevada, USA",USA,Red,Middleweight,MALE,3,3,Orthodox,182.88,185.42,185,7,Orthodox,185.42,193.04,170,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Williams,Jason Witt,119,-148,119,67.56756757,10/31/20,"Las Vegas, Nevada, USA",USA,Blue,Welterweight,MALE,3,0,Orthodox,177.8,177.8,170,0,Orthodox,182.88,185.42,170,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dustin Jacoby,Justin Ledet,-400,296,25,296,10/31/20,"Las Vegas, Nevada, USA",USA,Red,Light Heavyweight,MALE,3,3,Orthodox,193.04,203.2,205,1,Orthodox,190.5,193.04,205,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miles Johns,Kevin Natividad,-165,131,60.60606061,131,10/31/20,"Las Vegas, Nevada, USA",USA,Red,Bantamweight,MALE,3,0,Orthodox,167.64,177.8,145,2,Orthodox,170.18,167.64,135,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khabib Nurmagomedov,Justin Gaethje,-315,255,31.74603175,255,10/24/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Lightweight,MALE,5,5,Orthodox,180.34,177.8,155,12,Orthodox,177.8,177.8,155,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,Jared Cannonier,-110,-110,90.90909091,90.90909091,10/24/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Middleweight,MALE,3,6,Switch,180.34,195.58,185,12,Orthodox,182.88,185.42,185,29,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Volkov,Walt Harris,-190,150,52.63157895,150,10/24/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Heavyweight,MALE,3,6,Southpaw,195.58,195.58,250,5,Orthodox,200.66,203.2,250,32,37,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Malkoun,Phillip Hawes,195,-250,195,40,10/24/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Middleweight,MALE,3,1,Orthodox,182.88,195.58,185,0,Orthodox,175.26,185.42,185,25,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lauren Murphy,Liliya Shakirova,-215,170,46.51162791,170,10/24/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Women's Flyweight,FEMALE,3,0,Orthodox,162.56,165.1,125,5,Orthodox,165.1,170.18,125,37,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magomed Ankalaev,Ion Cutelaba,-335,250,29.85074627,250,10/24/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Light Heavyweight,MALE,3,4,Southpaw,185.42,190.5,205,4,Orthodox,190.5,190.5,205,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan Struve,Tai Tuivasa,-112,-112,89.28571429,89.28571429,10/24/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Heavyweight,MALE,3,3,Southpaw,187.96,190.5,264,13,Orthodox,210.82,213.36,265,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Wood,Casey Kenney,140,-177,140,56.49717514,10/24/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Catch Weight,MALE,3,5,Southpaw,170.18,172.72,140,4,Orthodox,167.64,175.26,140,27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Oliveira,Shavkat Rakhmonov,-112,-112,89.28571429,89.28571429,10/24/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Welterweight,MALE,3,0,Orthodox,185.42,195.58,170,11,Orthodox,180.34,193.04,170,32,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liana Jojua,Miranda Maverick,295,-400,295,25,10/24/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Women's Flyweight,FEMALE,3,0,Southpaw,160.02,165.1,125,1,Orthodox,162.56,157.48,125,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Alvarez,Alexander Yakovlev,-175,138,57.14285714,138,10/24/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Lightweight,MALE,3,3,Southpaw,190.5,187.96,155,2,Orthodox,190.5,195.58,155,26,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Ortega,Chan Sung Jung,160,-200,160,50,10/17/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Featherweight,MALE,5,6,Orthodox,170.18,182.88,145,6,Switch,172.72,175.26,145,29,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katlyn Chookagian,Jessica Andrade,130,-159,130,62.89308176,10/17/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Women's Flyweight,FEMALE,3,11,Orthodox,154.94,157.48,115,7,Orthodox,175.26,172.72,125,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Crute,Modestas Bukauskas,-335,250,29.85074627,250,10/17/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Light Heavyweight,MALE,3,1,Switch,190.5,198.12,205,4,Orthodox,187.96,187.96,205,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claudio Silva,James Krause,120,-150,120,66.66666667,10/17/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Welterweight,MALE,3,8,Orthodox,187.96,185.42,170,5,Southpaw,180.34,180.34,170,38,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Almeida,Jonathan Martinez,-139,110,71.94244604,110,10/17/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Featherweight,MALE,3,3,Southpaw,172.72,177.8,145,5,Southpaw,170.18,177.8,145,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz Gamrot,Guram Kutateladze,-335,245,29.85074627,245,10/17/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Lightweight,MALE,3,0,Orthodox,180.34,182.88,155,0,Southpaw,177.8,177.8,155,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gillian Robertson,Poliana Botelho,-215,169,46.51162791,169,10/17/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Women's Flyweight,FEMALE,3,3,Orthodox,172.72,170.18,115,5,Orthodox,165.1,160.02,125,25,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junyong Park,John Phillips,-278,215,35.97122302,215,10/17/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Middleweight,MALE,3,1,Southpaw,180.34,190.5,185,1,Orthodox,177.8,185.42,185,29,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie Mullarkey,Fares Ziam,-137,110,72.99270073,110,10/17/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Lightweight,MALE,3,0,Orthodox,185.42,190.5,155,0,Orthodox,182.88,187.96,155,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadzhimurad Antigulov,Maxim Grishin,277,-375,277,26.66666667,10/17/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Light Heavyweight,MALE,3,0,Orthodox,190.5,198.12,220,2,Orthodox,180.34,177.8,205,33,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Said Nurmagomedov,Mark Striegl,-435,317,22.98850575,317,10/17/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Bantamweight,MALE,3,0,Southpaw,172.72,177.8,135,2,Orthodox,172.72,177.8,135,28,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlon Moraes,Cory Sandhagen,115,-141,115,70.92198582,10/10/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Bantamweight,MALE,5,5,Switch,180.34,177.8,135,5,Orthodox,167.64,170.18,135,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edson Barboza,Makwan Amirkhani,-286,225,34.96503497,225,10/10/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Featherweight,MALE,3,6,Southpaw,177.8,182.88,145,14,Orthodox,180.34,190.5,145,34,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
