Winner,title_bout,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,draw_diff,avg_sig_str_pct_diff,avg_TD_pct_diff,win_by_Decision_Majority_diff,win_by_Decision_Split_diff,win_by_Decision_Unanimous_diff,win_by_TKO_Doctor_Stoppage_diff,odds_diff,ev_diff,kd_bout_diff,sig_str_landed_bout_diff,sig_str_attempted_bout_diff,sig_str_pct_bout_diff,tot_str_landed_bout_diff,tot_str_attempted_bout_diff,td_landed_bout_diff,td_attempted_bout_diff,td_pct_bout_diff,sub_attempts_bout_diff,pass_bout_diff,rev_bout_diff,Stance_diff,better_rank_enc
0,0,2,-3,1,-3,1,2,1,0,0,-5.08,-10.16,-1,-1.83,-0.4,-0.2,0,0.0,0.0,0,0,0,0,320,91.17647059000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0,1,-4,-2,-2,-2,-4,0,0,0,5.08,5.08,-3,1.13,-0.1,-1.41,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0,1,-2,-2,-9,-6,0,-4,0,0,2.54,0.0,-3,1.91,-0.7,-0.17,0,0.0,0.0,0,0,0,0,385,127.38095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,2,-3,-1,1,2,-2,0,0,0,-7.62,2.54,6,-0.62,0.2,1.66,0,0.0,0.0,0,0,0,0,260,48.571428569999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0,2,-1,1,0,0,-1,0,0,0,22.86,7.62,0,-1.66,0.3,-3.58,0,0.0,0.0,0,0,0,0,-345,-105.94594595000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,1,-2,0,3,2,0,0,0,0,-2.54,-12.7,-2,-1.47,-0.1,0.64,0,0.0,0.0,0,0,0,0,270,56.03448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0,1,-2,-1,-1,3,0,0,0,0,5.08,7.62,6,-4.75,0.4,1.48,0,0.0,0.0,0,0,0,0,610,245.14925373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0,1,-2,-2,-2,1,0,0,0,0,0.0,-2.54,-1,1.12,-6.4,1.47,1,0.0,0.0,0,0,0,0,294,73.30573248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0
1,0,2,-1,-2,-4,-2,1,0,0,0,0.0,10.16,-3,0.62,-0.3,-3.11,0,0.0,0.0,0,0,0,0,630,256.01449275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,2,-8,4,-3,-5,2,2,0,0,2.54,5.08,5,2.24,-1.7,-2.19,0,0.0,0.0,0,0,0,0,345,105.94594595000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0,1,-3,-1,-3,1,-1,0,0,0,-2.54,2.54,5,-1.35,-0.2,2.88,0,0.0,0.0,0,0,0,0,300,77.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0,3,-5,3,10,6,3,0,0,0,-5.08,-22.86,13,-2.21,0.6,1.36,0,0.0,0.0,0,0,0,0,250,40.925925930000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,4,-4,5,11,8,6,5,0,0,0.0,-10.16,6,-1.12,-0.6,-0.78,0,0.0,0.0,0,0,0,0,-725,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0,1,-2,-4,-13,-5,-1,0,0,0,-2.54,-2.54,-2,-1.23,1.3,0.46,0,0.0,0.0,0,0,0,0,-284,-66.21052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,1,-3,0,3,3,0,0,0,0,7.62,2.54,4,0.73,0.6,0.44,0,0.0,0.0,0,0,0,0,-260,-48.571428569999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0
1,0,1,-3,1,0,0,-2,0,0,0,10.16,10.16,-2,2.63,0.3,-1.72,0,0.0,0.0,0,0,0,0,-355,-112.36842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,0,1,-2,-3,-8,-4,0,0,0,0,10.16,10.16,-3,-0.3,-0.1,-0.68,0,0.0,0.0,0,0,0,0,975,406.81818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0,2,-1,-1,-2,1,-1,0,0,0,-7.62,-2.54,13,-0.25,-2.2,1.07,0,0.0,0.0,0,0,0,0,565,222.74193548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,2,-1,-3,-1,-1,0,-3,-1,-2.54,-7.62,-5,-0.75,0.0,-0.52,1,0.0,0.0,0,0,1,0,-244,-35.37313433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1
0,0,0,1,-3,-17,-10,-61,-1,-8,-5,2.54,-2.54,-8,5.26,-0.6,-1.23,0,0.0,0.0,-1,0,-3,0,-317,-83.50282486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1
1,0,-1,0,-1,-4,-3,-16,0,0,-2,-2.54,-7.62,-1,0.46,0.0,-0.18,0,0.0,0.0,0,0,-2,0,385,123.48837209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,0,1,-1,-1,-1,1,4,0,-1,0,-2.54,-2.54,-5,-0.88,1.9,2.54,0,0.0,0.0,0,0,0,0,360,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0,0,0,0,-2,-4,-12,0,-3,-1,-2.54,2.54,1,-0.84,-1.3,0.97,0,0.0,0.0,0,0,2,0,251,40.05755396000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0
0,0,-2,1,-3,-9,-7,-38,0,-2,-2,-2.54,7.62,-12,-2.24,2.0,1.39,0,0.0,0.0,0,0,-5,0,-730,-286.19047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0
1,0,0,0,0,0,1,6,0,0,1,10.16,5.08,9,1.33,-2.1,-3.78,1,0.0,0.0,0,0,-1,0,485,173.63636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0
0,0,-1,0,-2,-7,-7,-37,0,-4,0,0.0,5.08,-3,-0.17,0.5,0.22,0,0.0,0.0,0,-2,-1,0,360,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0,-2,2,-1,-4,-4,-21,-1,-6,-3,-10.16,-2.54,-2,0.43,-0.6,2.35,0,0.0,0.0,0,0,5,0,254,43.05755396000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1
