R_fighter,B_fighter,gender,R_age,B_age,R_Height_cms,B_Height_cms,R_Weight_lbs,B_Weight_lbs,R_Reach_cms,B_Reach_cms,sig_str_landed_bout_diff,ev_diff,odds_diff,tot_str_landed_bout_diff,sig_str_pct_bout_diff
Paulo Thiago,Siyar Bahadurzada,MALE,31,27,180.34,180.34,170,170,185.42,185.42,3,73.33333333,290,3,0.75
Dennis Siver,Diego Nunes,MALE,33,29,167.64,167.64,145,145,177.8,170.18,-19,-115.94594595,-355,-29,0.06
DaMarques Johnson,John Maguire,MALE,29,28,185.42,175.26,170,155,190.5,175.26,-9,-115.94594595,-355,2,0.25
Brad Pickett,Damacio Page,MALE,33,29,167.64,167.64,135,135,172.72,167.64,0,219.28571429,535,0,0
Papy Abedi,James Head,MALE,33,28,180.34,185.42,185,170,187.96,185.42,10,115.94594595,355,9,-0.13
Cyrille Diabate,Tom DeBlass,MALE,38,29,198.12,182.88,205,185,205.74,190.5,-47,-124.91666667,-369,-73,-0.7999999999999999
Francis Carmont,Magnus Cedenblad,MALE,30,30,190.5,195.58,205,185,198.12,200.66,-17,225.51724138,550,-14,-0.15000000000000002
Reza Madadi,Yoislandy Izquierdo,MALE,33,28,180.34,180.34,155,155,182.88,184,35,190,480,42,-0.44
Simeon Thoresen,Besam Yousef,MALE,28,27,185.42,180.34,170,170,200.66,180.34,-9,264.23076923,620,17,-0.040000000000000036
Jason Young,Eric Wisely,MALE,25,27,175.26,172.72,145,145,185.42,178,-8,101.17647059,330,-15,0.010000000000000007
Thiago Alves,Martin Kampmann,MALE,28,29,175.26,182.88,170,170,177.8,182.88,0,66.03448276,280,0,0
Joseph Benavidez,Yasuhiro Urushitani,MALE,27,35,162.56,165.1,125,125,165.1,170,0,668.50574713,1550,0,0
Court McGee,Costas Philippou,MALE,27,32,180.34,180.34,170,185,190.5,185.42,0,35,240,0,0
James Te Huna,Aaron Rosa,MALE,30,28,187.96,193.04,185,205,190.5,198.12,0,286.01449275,660,0,0
Anthony Perosh,Nick Penner,MALE,39,31,190.5,193.04,205,205,190.5,195.58,0,-66.03448276,-280,0,0
Cole Miller,Steven Siler,MALE,27,25,185.42,180.34,145,145,187.96,177.8,0,388.26086957,870,0,0
Kyle Noke,Andrew Craig,MALE,31,26,185.42,185.42,170,170,193.04,193.04,0,195.78431373,490,0,0
TJ Waldburger,Jake Hecht,MALE,23,28,180.34,182.88,170,170,190.5,193.04,0,48.57142857,260,0,0
Mackens Semerzier,Daniel Pineda,MALE,31,26,175.26,170.18,145,145,182.88,175.26,0,66.03448276,280,0,0
Oli Thompson,Shawn Jordan,MALE,32,27,185.42,182.88,242,260,190.5,190.5,0,-154.54545455,-420,0,0
Frankie Edgar,Benson Henderson,MALE,30,28,167.64,175.26,145,170,172.72,177.8,19,43.07692308,250,19,-0.029999999999999968
Rampage Jackson,Ryan Bader,MALE,33,28,185.42,187.96,205,205,185.42,187.96,0,66.03448276,280,0,0
Yushin Okami,Tim Boetsch,MALE,30,31,187.96,182.88,170,185,190.5,187.96,13,340.6097561,775,4,0.07
Hatsu Hioki,Bart Palaszewski,MALE,28,28,180.34,175.26,145,145,177.8,177.8,-41,115.94594595,355,-144,-0.27
Anthony Pettis,Joe Lauzon,MALE,25,27,177.8,177.8,170,155,182.88,180.34,-9,222.9122807,543,-9,-0.45
Takanori Gomi,Eiji Mitsuoka,MALE,33,36,170.18,170.18,155,145,177.8,173,-16,190,480,-61,0.03999999999999998
Norifumi Yamamoto,Vaughan Lee,MALE,34,29,162.56,167.64,135,125,167.64,167.64,-7,225.51724138,550,11,0.040000000000000036
Riki Fukuda,Steve Cantwell,MALE,31,25,182.88,187.96,185,185,185.42,190.5,-77,247.74193548,590,-138,-0.2
Takeya Mizugaki,Chris Cariaso,MALE,28,30,170.18,160.02,135,125,172.72,160.02,9,225.51724138,550,5,0.16999999999999998
Tiequan Zhang,Issei Tamura,MALE,33,27,172.72,165.1,155,135,177.8,160.02,9,129.97959184,377,71,0.31
Diego Sanchez,Jake Ellenberger,MALE,30,26,177.8,175.26,170,170,182.88,180.34,33,-291.83098592,-675,15,0.25
Stefan Struve,Dave Herman,MALE,23,27,210.82,193.04,265,242,213.36,193.04,4,-10.909909909999996,-212,-31,0.10000000000000007
Aaron Simpson,Ronny Markes,MALE,37,23,182.88,185.42,170,185,185.42,190.5,7,-58.57142857,-270,3,-0.020000000000000014
Stipe Miocic,Philip De Fries,MALE,29,25,193.04,195.58,240,250,203.2,208.28,-1,390.58252427,925,-3,-0.08999999999999997
TJ Dillashaw,Walel Watson,MALE,26,27,167.64,180.34,125,135,170.18,175.26,-74,195.78431373,490,-135,-0.41
Ivan Menjivar,John Albert,MALE,29,25,167.64,172.72,145,135,162.56,172.72,6,178.33333333000004,460,4,-0.1499999999999999
Jonathan Brookins,Vagner Rocha,MALE,26,29,182.88,177.8,145,155,185.42,185.42,-11,94.39393939,320,-11,-0.21
Anton Kuivanen,Justin Salas,MALE,27,29,172.72,172.72,155,155,182.88,177.8,12,-58.57142857,-270,27,0.12
Tim Means,Bernardo Magalhaes,MALE,27,30,187.96,175.26,170,155,190.5,165.1,-55,-35,-240,-68,-0.07
Nick Diaz,Carlos Condit,MALE,28,27,185.42,187.96,185,170,193.04,190.5,0,122.36842105,365,0,0
Roy Nelson,Fabricio Werdum,MALE,35,34,182.88,193.04,263,231,182.88,195.58,0,-73.33333333,-290,0,0
Josh Koscheck,Mike Pierce,MALE,34,31,177.8,172.72,170,170,185.42,177.8,0,210.96296296,518,0,0
Renan Barao,Scott Jorgensen,MALE,25,29,167.64,165.1,135,135,177.8,167.64,0,148.48837208999996,410,0,0
Ed Herman,Clifford Starks,MALE,31,30,185.42,182.88,205,185,195.58,195.58,0,154.54545455,420,0,0
Dustin Poirier,Max Holloway,MALE,23,20,175.26,180.34,155,155,182.88,175.26,0,425.58252427,960,0,0
Alex Caceres,Edwin Figueroa,MALE,23,27,177.8,170.18,145,135,185.42,175.26,0,-35,-240,0,0
Matt Brown,Chris Cope,MALE,31,28,182.88,182.88,170,170,190.5,182.88,0,275.14925373,640,0,0
Matthew Riddle,Henry Martinez,MALE,26,28,185.42,170.18,170,155,187.96,172.72,0,300.60273973,693,0,0
Rafael Natal,Michael Kuiper,MALE,29,22,182.88,182.88,185,185,193.04,185.42,0,76.21052632,294,0,0
Dan Stittgen,Stephen Thompson,MALE,31,28,185.42,182.88,170,170,180,190.5,0,-258.75,-610,0,0
Rashad Evans,Phil Davis,MALE,32,27,182.88,187.96,205,205,190.5,200.66,-11,123.64397906,367,-45,-0.13
